"id","day","interaction","timea","timeb","dur","choice1","choice2","location","partner_gender","partner_status","first","mtone","length","level","igaff","igdom","agval","agarous","stress","health","sbi_extra","sbi_agree","sbi_domin","sbi_quarl","sbi_submi","sbi_agency","sbi_commun","sbi_total","sbi_agree_ips","sbi_domin_ips","sbi_quarl_ips","sbi_submi_ips","sbi_agency_ips","sbi_commun_ips"
101,4,25,1000,1030,30,2,6,1,1,9,0,0,8,3,8,6,8,7,0,0,0,0.333333333,0,0,0.333333333,-1,1,0.166666667,0.166666667,-0.166666667,-0.166666667,0.166666667,-0.333333333,0.333333333
101,4,26,1115,1230,50,2,6,3,0,4,0,1,NA,2,8,6,7,6,0,0,0,0.333333333,0,0,0,0,1,0.083333333,0.25,-0.083333333,-0.083333333,-0.083333333,0,0.333333333
101,4,27,1220,1350,50,2,6,3,1,4,0,1,3,3,8,6,7,6.5,0,0,0,0.333333333,0.333333333,0,0,1,1,0.166666667,0.166666667,0.166666667,-0.166666667,-0.166666667,0.333333333,0.333333333
101,4,28,1220,1400,50,2,6,3,0,4,0,1,3,3,7.5,6,8,6,0,0,0,0.333333333,0.333333333,0,0,1,1,0.166666667,0.166666667,0.166666667,-0.166666667,-0.166666667,0.333333333,0.333333333
101,4,29,1430,1500,20,2,6,5,0,4,0,0,9,3,8,6,8,6,0,0,0,0.333333333,0.333333333,0,0,1,1,0.166666667,0.166666667,0.166666667,-0.166666667,-0.166666667,0.333333333,0.333333333
101,4,30,1520,1600,30,2,6,5,0,4,0,1,7,4,8,7,8,7,0,0,0,0.666666667,0,0,0.333333333,-1,2,0.25,0.416666667,-0.25,-0.25,0.083333333,-0.333333333,0.666666667
101,4,31,1605,1630,20,2,6,5,1,4,0,1,3,3,7,6,8,6,0,0,0,0.333333333,0.333333333,0.333333333,0,1,0,0.25,0.083333333,0.083333333,0.083333333,-0.25,0.333333333,0
101,4,32,1620,1645,40,2,6,3,1,4,0,0,7,3,8,5,8,5,0,0,0,0.333333333,0.333333333,0,0,1,1,0.166666667,0.166666667,0.166666667,-0.166666667,-0.166666667,0.333333333,0.333333333
101,5,33,900,1000,20,2,6,1,1,4,0,0,6,3,9,6,8,6,0,1,0,0.333333333,0,0,0.333333333,-1,1,0.166666667,0.166666667,-0.166666667,-0.166666667,0.166666667,-0.333333333,0.333333333
101,5,34,1015,1030,15,2,6,1,1,4,0,0,6,NA,9,5,8,5,0,0,0,0.333333333,0.333333333,0.333333333,0,1,0,0.25,0.083333333,0.083333333,0.083333333,-0.25,0.333333333,0
101,5,35,1100,1200,50,2,6,3,1,NA,0,0,3,2,7,5,6,5,0,0,0,0.333333333,0.333333333,0,0,1,1,0.166666667,0.166666667,0.166666667,-0.166666667,-0.166666667,0.333333333,0.333333333
101,5,36,1215,1230,15,2,6,5,1,NA,0,0,6,2,8,6,7,6,0,0,0,0,0.333333333,0.333333333,0,1,-1,0.166666667,-0.166666667,0.166666667,0.166666667,-0.166666667,0.333333333,-0.333333333
101,5,37,1230,1245,10,2,6,5,0,5,0,0,6,2,7,6,7,5,0,0,0,0.333333333,0,0,0,0,1,0.083333333,0.25,-0.083333333,-0.083333333,-0.083333333,0,0.333333333
101,5,38,1300,1315,7,2,6,5,0,5,0,1,4,2,8,6,8,6,0,0,0,0.333333333,0.333333333,0.333333333,0,1,0,0.25,0.083333333,0.083333333,0.083333333,-0.25,0.333333333,0
101,5,39,1330,1400,10,2,6,1,1,4,0,NA,6,3,8,6,8,6,0,0,0,0.333333333,0.333333333,0,0.666666667,-1,1,0.333333333,0,0,-0.333333333,0.333333333,-0.333333333,0.333333333
101,5,40,1400,1430,10,2,6,1,1,9,0,1,102,4,7,5,8,4,0,0,0,0,0.333333333,0.333333333,0,1,-1,0.166666667,-0.166666667,0.166666667,0.166666667,-0.166666667,0.333333333,-0.333333333
101,6,41,1000,1030,30,2,6,1,1,9,0,0,96,3,8,6,7,6,0,0,0,0,0.333333333,0,0.333333333,0,0,0.166666667,-0.166666667,0.166666667,-0.166666667,0.166666667,0,0
101,6,42,1115,1200,45,2,6,3,0,4,0,NA,6,3,7,6,7,6,0,0,0,0.333333333,0.333333333,0,0,1,1,0.166666667,0.166666667,0.166666667,-0.166666667,-0.166666667,0.333333333,0.333333333
101,6,43,1230,1300,40,2,6,3,1,4,0,1,3,3,8,5,8,6,0,0,0,0,0.666666667,0,0,2,0,0.166666667,-0.166666667,0.5,-0.166666667,-0.166666667,0.666666667,0
101,6,44,1330,1415,30,2,6,5,1,4,0,NA,6,4,8,6,8,6,0,0,0,0.666666667,0,0,0.333333333,-1,2,0.25,0.416666667,-0.25,-0.25,0.083333333,-0.333333333,0.666666667
101,6,45,1530,1645,60,4,5,3,0,4,0,1,6,3,8,6,8,6,0,0,0,0.333333333,0.333333333,0.333333333,0,1,0,0.25,0.083333333,0.083333333,0.083333333,-0.25,0.333333333,0
101,6,46,1530,1650,40,4,4,3,0,5,0,0,3,2,8,6,8,6,0,0,0,0.333333333,1,0,0,3,1,0.333333333,0,0.666666667,-0.333333333,-0.333333333,1,0.333333333
101,6,47,1540,1650,40,4,4,3,1,5,0,1,3,2,8,6,8,6,0,0,0,0,0.333333333,0,0,1,0,0.083333333,-0.083333333,0.25,-0.083333333,-0.083333333,0.333333333,0
101,6,48,1540,1700,40,4,4,3,0,5,0,1,3,2,8,5,8,5,0,0,0,0.333333333,0.333333333,0,0,1,1,0.166666667,0.166666667,0.166666667,-0.166666667,-0.166666667,0.333333333,0.333333333
101,7,49,900,930,15,2,6,1,1,9,0,1,96,3,8,5.5,8,6.5,0,0,1,0,0,0.333333333,0,0,-1,0.083333333,-0.083333333,-0.083333333,0.25,-0.083333333,0,-0.333333333
101,7,50,1000,1100,50,4,4,3,0,4,0,1,3,2,7,5,6,5,0,0,0,0,0.333333333,0.333333333,0.333333333,0,-1,0.25,-0.25,0.083333333,0.083333333,0.083333333,0,-0.333333333
101,7,51,1115,1230,50,3,3,3,0,5,0,0,3,3,7,5,7,5,0,0,0,0.333333333,0.666666667,0,0,2,1,0.25,0.083333333,0.416666667,-0.25,-0.25,0.666666667,0.333333333
101,7,52,1200,1245,15,4,4,3,0,5,0,1,3,2,8,6,8,6,0,0,0,0.333333333,0.666666667,0,0,2,1,0.25,0.083333333,0.416666667,-0.25,-0.25,0.666666667,0.333333333
101,7,53,1245,1300,10,2,2,5,1,4,0,1,6,3,8,6,8,6,0,0,0,0.333333333,0.666666667,0,0,2,1,0.25,0.083333333,0.416666667,-0.25,-0.25,0.666666667,0.333333333
101,7,54,1320,1345,40,3,5,5,1,4,0,1,6,3,7,5,7,5,0,0,0,0,1,0,0,3,0,0.25,-0.25,0.75,-0.25,-0.25,1,0
101,7,55,1400,1430,10,2,6,NA,1,4,0,0,6,3,8,4,7,5,0,0,0,0.666666667,0.666666667,0,0,2,2,0.333333333,0.333333333,0.333333333,-0.333333333,-0.333333333,0.666666667,0.666666667
101,7,56,1400,1520,15,2,6,1,1,4,0,0,6,4,8,6,8,7,0,0,0,0.333333333,0.666666667,0,0,2,1,0.25,0.083333333,0.416666667,-0.25,-0.25,0.666666667,0.333333333
103,3,1,1100,1220,60,2,7,1,0,9,0,0,18,5,6,7,9,4,0,0,0,0.666666667,1,0,0,3,2,0.416666667,0.25,0.583333333,-0.416666667,-0.416666667,1,0.666666667
103,3,2,1400,1534,60,1,7,5,0,9,0,1,18,5,6,8,9,3,0,1,0,0,1,0,0,3,0,0.25,-0.25,0.75,-0.25,-0.25,1,0
