8 1 -0.685 -1.339 0.382 42.25 40.5 0 1
8 1 -0.424 -0.742 0.599 46.5 42.5 0.5 2
8 1 -0.219 -0.638 0.559 43.5 42 1 3
8 1 0.555 0.211 0.855 45 45.5 1.5 4
15 2 -0.736 -0.637 -0.223 44.5 43 0 1
15 2 -0.428 -0.399 0.216 45.63 46.5 0.5 2
15 2 0.031 -0.28 0.15 47 48 1 3
15 2 0.627 0.371 0.706 48.5 52 1.5 4
21 1 -0.359 -1.182 0.143 49 100 0 1
21 1 0.27 -0.939 1.06 56.5 83 0.5 2
21 1 0.295 -0.067 0.679 51.75 58 1 3
21 1 1.099 0.241 1.359 53.5 130.25 1.5 4
28 1 -0.916 -1.071 -0.473 44.19 55.25 0 1
28 1 -0.588 -0.444 0.147 45.75 66 0.5 2
28 1 -0.408 -0.33 0.055 46.88 70.75 1 3
28 1 0.279 0.195 0.455 49.13 73.5 1.5 4
29 1 -1.195 -0.996 -0.906 38 40 0 1
29 1 -1.028 -0.936 -1.122 35 20 0.5 2
29 1 -0.586 -0.747 -0.757 . . 1 3
29 1 -0.1 0.192 -0.414 . . 1.5 4
36 2 -1.834 -1.857 -0.413 42.88 44.5 0 1
36 2 -0.697 -0.332 0.018 47.5 47 0.5 2
36 2 -0.222 -0.26 0.087 45.25 48.5 1 3
36 2 0.057 0.029 0.349 46.75 51.5 1.5 4
37 1 -0.718 -1.069 -0.061 43.69 44.25 0 1
37 1 -0.41 -0.104 0.086 48.75 47 0.5 2
37 1 -0.217 -0.08 0.231 46 49.5 1 3
37 1 0.79 1.029 0.49 47.25 52 1.5 4
38 2 -1.313 -1.318 -0.591 44.38 39.5 0 1
38 2 -0.533 -0.575 -0.123 45.75 49.25 0.5 2
38 2 -0.662 -0.223 0.022 46.75 47 1 3
38 2 0.271 0.603 0.367 48.25 52.75 1.5 4
39 1 -0.539 -0.86 0.502 35 35 0 1
39 1 -0.394 -0.121 0.648 42.75 41.5 0.5 2
39 1 -0.115 0.033 0.949 44 43 1 3
39 1 . . . . . 1.5 4
44 2 -1.591 -1.506 -0.552 44.88 41.5 0 1
44 2 . . . . . 0.5 2
44 2 -0.237 -0.084 0.26 44.25 51 1 3
44 2 . . . . . 1.5 4
47 1 -1.392 -1.51 -0.227 46.13 41 0 1
47 1 -0.79 -0.773 0.079 44 44 0.5 2
47 1 -0.301 -0.347 0.197 45.25 44 1 3
47 1 0.166 0.459 0.804 46.5 47.5 1.5 4
48 1 -1.1 -1.353 -0.264 45.88 38.5 0 1
48 1 -1.019 -1.283 -0.118 44 39.25 0.5 2
48 1 -0.77 -1.014 0.296 44.62 41 1 3
48 1 -0.005 0.294 0.6 45.5 44 1.5 4
49 1 -1.496 -1.611 -0.237 43.25 41.5 0 1
49 1 -0.997 -0.832 0.006 45 44 0.5 2
49 1 -0.353 -0.413 0.604 46.25 47 1 3
49 1 -0.041 0.155 0.695 48.75 52.5 1.5 4
52 2 -0.949 -1.132 0.026 42.13 40.5 0 1
52 2 -0.523 -0.241 0.232 43.75 44.5 0.5 2
52 2 -0.082 -0.265 0.514 44.5 44.25 1 3
52 2 0.287 0.396 0.601 45.88 46 1.5 4
56 1 -0.584 -1.056 0.168 44.5 52 0 1
56 1 -0.196 -0.157 0.784 46.5 66.5 0.5 2
56 1 0.749 -0.054 0.993 47.5 70 1 3
56 1 1.3 0.859 1.269 48.38 83 1.5 4
59 2 -1.195 -1.482 -0.027 42 41.5 0 1
59 2 -0.368 -0.367 0.319 47.38 43.5 0.5 2
59 2 -0.454 0.068 0.23 44 44.5 1 3
59 2 0.707 0.677 0.631 45.75 48 1.5 4
74 1 -1.262 -1.06 0.281 45.37 44.75 0 1
74 1 -0.673 -0.189 0.404 47.25 46 0.5 2
74 1 -0.253 -0.018 0.59 48.13 50.5 1 3
74 1 1.086 0.77 1.591 49.5 52.5 1.5 4
76 1 -0.937 -0.466 -0.587 43.75 45 0 1
76 1 -0.14 -0.129 -0.449 43 44.25 0.5 2
76 1 -0.403 0.009 -0.34 44 44.5 1 3
76 1 0.506 0.579 0.11 45.5 48.5 1.5 4
80 1 -0.985 -1.207 -0.715 42.5 40.5 0 1
80 1 -0.204 -0.277 -0.322 44.25 42.5 0.5 2
80 1 0.056 0.212 0.199 44.5 44 1 3
80 1 0.548 1.061 1.119 46.5 48.25 1.5 4
81 1 -0.851 -0.937 0.155 46.5 50.25 0 1
81 1 -0.33 0.058 0.715 51.5 54 0.5 2
81 1 -0.251 0.022 0.779 49 56.5 1 3
81 1 0.558 0.71 1.151 50.5 59.5 1.5 4
86 2 -0.773 -1.075 -0.009 44.5 41.75 0 1
86 2 -0.163 -0.233 0.25 45.75 43 0.5 2
86 2 -0.276 -0.11 0.593 46.5 44.5 1 3
86 2 1.057 1.078 0.907 47.88 47 1.5 4
92 1 -0.871 -0.821 -0.062 41.6 43 0 1
92 1 -0.68 -0.415 -0.439 43 45.5 0.5 2
92 1 -0.18 -0.326 0.004 44 45 1 3
92 1 0.072 0.178 0.164 45 47.5 1.5 4
96 1 -0.857 -1.33 -0.768 45 40.5 0 1
96 1 -0.403 -0.188 -0.419 46.5 45 0.5 2
96 1 -0.122 -0.424 -0.186 47.5 44.5 1 3
96 1 0.646 0.711 0.158 49 48 1.5 4
97 1 -1.977 -1.532 -0.127 45.75 64 0 1
97 1 -1.334 -0.901 -0.193 47.2 65.5 0.5 2
97 1 -0.297 -0.59 0.352 48.25 74.75 1 3
97 1 -0.094 -0.12 0.239 49.5 82.5 1.5 4
