    1.0000     .         .         .         .         .         .         .         .         .         .         .         .         .         .         .         .         .         .    
    3.0000     .         .         .         .         .         .         .         .         .         .         .         .         .         .         .         .         .         .    
    8.0000     .         .         .         .         .         .      103.9000  204.1000  166.6700     .         .         .         .         .         .        2.2360    1.9870    2.0410
   16.0000   51.5700  142.1800  115.5900   65.9400  141.0200  133.6700   86.9000  169.8300  156.6700   -0.2410    1.4130    1.6010    0.4760    1.1610    1.5120    0.9500    1.2430    1.7040
   28.0000     .         .         .         .         .         .         .         .         .         .         .         .         .         .         .         .         .         .    
   44.0000     .         .         .         .         .         .         .         .         .         .         .         .         .         .         .         .         .         .    
   46.0000   72.0900  154.4300   96.8700   79.4400  170.5700  116.2800   89.0800  192.0700  132.4000    0.5920    1.6390    1.2840    1.2240    1.5990    1.1770    1.0650    1.5860    1.2300
   62.0000   34.7100  106.4000   87.8600   47.4400  145.7200  104.6800     .         .         .       -0.9660    1.1270    1.1240   -0.4850    1.1830    1.0970     .         .         .    
   66.0000     .         .         .         .         .         .         .         .         .         .         .         .         .         .         .         .         .         .    
   74.0000   62.9400  126.0600   92.4700   73.7000  145.1700  124.7300   92.6700  193.4300  133.9300    0.1710    1.2600    1.2220    0.9020    1.2090    1.3770    1.2740    1.6170    1.2560
   94.0000     .         .         .         .         .         .         .         .         .         .         .         .         .         .         .         .         .         .    
  104.0000   70.6400  177.9300  126.3400   73.7500  181.9700  139.7900   98.7000  205.7800  161.7400    0.5320    1.9850    1.8100    0.9420    1.7790    1.6200    1.7000    2.0920    1.8460
  109.0000   37.6700  148.5500  123.1400   61.7900  153.7400  144.3000   91.7600  194.1800  161.0800   -0.8440    1.6000    1.7130    0.2740    1.3550    1.6850    1.2190    1.6340    1.8260
  117.0000   44.8900   91.6800   59.1600   50.3700  129.0800   89.5300   73.8600  144.4900  100.7000   -0.5030    0.8340    0.5260   -0.3170    1.0350    0.8010    0.3510    0.9730    0.7550
  137.0000   51.8300  126.1700  116.0800     .         .         .         .         .         .       -0.2430    1.3070    1.5830     .         .         .         .         .         .    
  139.0000   49.6600  126.1100  106.2000   63.7600  162.5500  142.2700   90.5000  187.1300  142.8800   -0.3210    1.2930    1.4560    0.3740    1.3830    1.7180    1.1450    1.4900    1.4140
  158.0000     .         .         .         .         .         .         .         .         .         .         .         .         .         .         .         .         .         .    
