3 15 1 1 3
3 17 1 1 3
4 17 1 1 3
4 19 3 0 2
5 16 1 1 3
6 16 1 1 3
6 18 1 1 3
8 18 7 0 0
8 20 7 0 0
9 15 1 1 3
9 17 1 1 3
9 19 1 1 3
10 16 3 0 2
10 18 1 1 3
10 20 1 1 3
11 19 7 0 0
15 16 2 0 2
15 18 1 1 3
15 20 1 1 3
16 15 1 1 3
16 17 1 1 3
19 16 7 0 0
19 18 7 0 0
19 20 7 0 0
20 16 7 0 0
20 18 7 0 0
20 20 1 1 3
21 15 7 0 0
21 17 7 0 0
22 16 7 0 0
22 18 7 0 0
22 20 7 0 0
23 16 7 0 0
23 18 7 0 0
24 20 7 0 0
25 15 7 0 0
25 17 7 0 0
25 19 1 1 3
26 15 7 0 0
26 17 3 0 2
26 19 4 0 2
30 16 1 1 3
30 20 1 1 3
31 15 5 0 1
31 17 5 0 1
31 19 1 1 3
34 15 2 0 2
34 17 3 0 2
34 19 7 0 0
35 15 3 0 2
35 17 7 0 0
35 19 5 0 1
38 16 7 0 0
38 18 7 0 0
38 20 7 0 0
39 15 7 0 0
39 17 7 0 0
39 19 7 0 0
40 15 1 1 3
40 17 1 1 3
41 16 7 0 0
41 18 7 0 0
44 16 7 0 0
44 18 7 0 0
45 15 1 1 3
45 17 1 1 3
45 19 1 1 3
46 15 7 0 0
48 15 3 0 2
48 19 2 0 2
49 16 7 0 0
49 20 7 0 0
50 16 7 0 0
50 20 1 1 3
51 15 7 0 0
51 17 7 0 0
52 16 7 0 0
57 15 7 0 0
57 17 7 0 0
58 15 7 0 0
62 15 7 0 0
62 17 7 0 0
62 19 7 0 0
66 17 7 0 0
66 19 7 0 0
68 16 7 0 0
70 16 3 0 2
70 18 2 0 2
72 15 7 0 0
72 17 2 0 2
72 19 1 1 3
73 15 7 0 0
73 17 7 0 0
73 19 7 0 0
74 16 7 0 0
74 18 7 0 0
74 20 7 0 0
75 16 6 0 1
75 18 6 0 1
75 20 7 0 0
76 16 4 0 2
