36.58 39.54 33.822 3.83 49.37 50.1 40.533 4
50.82 44.44 38.147 3 83.5 58.93 37.409 2.83
40.68 28.57 28.108 3.67 40.41 32.81 29.312 3.5
34.72 26.62 25.865 3 42.06 34.37 35.127 3.67
38.28 40.88 38.993 3.5 50.4 38.86 41.531 3.17
32.57 23.57 15.404 2.67 34.14 35.25 27.382 3
31.98 19.65 18.727 2.67 32.84 23.6 26.977 2.67
50.45 36.27 33.352 4 64.13 53.31 32.703 3.33
32.49 20.82 26.211 3.33 38.52 29.09 29.612 3.5
33.3 26.85 27.072 3 36.72 32.22 33.73 3.17
65.92 47.36 33.514 3.67 84.61 59.89 42.359 3.5
62.43 62.32 39.166 3.5 99.43 78.65 43.509 3.33
34.2 22.27 28.096 3.33 39.87 27.44 32.374 2.83
38.8 32.57 26.429 3 . . . 3.83
26.77 15.97 11.269 . 32.86 21.97 14.941 3
48.32 40.94 23.446 3.17 50.6 48.69 33.596 3.5
43.01 33.26 24.71 2.67 46.24 35.24 34.898 2.83
27.85 20.32 17.497 3.17 33.9 28.91 18.483 3.8
27.9 20.23 21.195 2.5 43.24 31.35 25.818 2.5
32.44 23.7 21.306 3.17 40.93 31.04 29.522 3.67
27.81 18.64 14.728 3.33 39.6 25.58 17.871 3
33.34 22.53 22.102 2.83 . . . .
32.05 20.27 14.7 2.67 40.36 23.57 20.536 2.67
26.85 25.83 23.977 3.17 33.15 34.26 30.03 2.5
30.77 22.93 13.235 3.17 36.65 32.67 25.301 3
32.96 21.4 11.02 1.83 37.47 30.99 24.293 2.17
27.46 13.92 18.558 2.67 29.66 18.8 20.344 2.33
43.8 34.63 25.589 2.83 51.26 40.13 27.17 .
36.67 33.24 27.301 4 36.7 37.2 30.216 2.67
37.42 29.9 20.702 3.17 46.36 39.68 27.016 2.67
38.71 25.87 27.976 2.67 47.36 46.5 35.161 3.17
36.05 27.04 33.879 3 43.43 42.97 39.444 3.17
30.98 30.43 21.17 2.5 40.15 33.61 27.339 2.17
30.73 25.25 23.323 3.33 44.35 38.75 30.764 3.5
85.91 44.52 38.464 3.5 120.88 53.18 44.299 3.5
28.97 21.08 25.621 3.83 38.83 33.25 30.277 3.83
30.01 24.71 22.048 3.67 40.1 35.71 26.877 3.33
33.47 32.3 23.991 2.5 44.08 51.85 33.808 2.75
28.02 20.98 16.572 3.5 41.49 28.5 27.18 .
27.24 18.14 16.187 3.83 46.18 34.73 23.069 3.33
35.25 29.41 14.994 2.67 53.71 46.53 23.429 2.8
30.56 21.03 18.692 2.83 43.36 32.57 23.204 3.5
24.67 16.35 17.81 3 29.85 29.25 24.27 3
. . . 3.33 45.1 28.05 36.604 3.33
35.04 27.45 27.33 3.83 50.78 38.42 35.749 3.5
27.76 25.85 34.184 3.83 46.74 36.5 36.517 4
25.48 17.62 17.847 2.5 42.59 25.24 19.185 2.67
35.82 27.5 21.42 . 51.13 40.39 26.769 .
27.38 20.95 13.81 2.67 47.19 40.06 19.458 2.83
26.06 13.05 18.816 3 . . . .
28.18 13.48 11.294 3.17 48.33 31.21 20.859 2.67
24.91 14.02 18.018 3.67 30 16.66 28.402 3.17
23.93 17.59 20.634 3.17 48.31 38.28 22.681 3.83
23.57 15.65 14.549 3.17 42.95 28.83 19.58 2.5
23.93 18.19 21.15 2.83 39.01 29.31 24.289 3.33
24.97 12.38 9.223 1.83 26.37 17.28 11.796 2.33
23.64 12.45 8.074 2.67 27.82 12.81 10.804 1.83
25.7 18.65 8.077 2.33 40.05 30.69 12.888 2.5
24.3 15.28 16.156 3 27.15 27.7 21.309 2.67
23.21 11.74 10.276 2.83 . . . 2.5
24.38 17.34 10.129 2.5 34.57 23.11 16.508 2.33
32.38 22.12 17.668 2.67 36.31 27.62 24.969 3.6
40.55 33.97 17.817 3.67 49.72 42.03 22.745 2.83
39.73 27.35 30.15 3.5 48.93 37.89 39.481 3.33
37.23 40.17 29.128 2.83 50.27 61.34 32.517 3
32.88 19.79 16.922 2.67 39.73 27.62 19.896 3.67
25.55 13.36 17.023 2.33 28.34 29.21 25.313 2.5
31.15 22.22 12.389 3 44.35 38.97 25.882 3.5
35.26 30.7 17.128 3.83 38.69 35.91 21.113 3.17
38.48 28.58 18.303 3 54.49 32.95 25.542 3
26.99 13.96 18.48 3.5 34.75 28.34 26.032 2.83
31.25 20.13 22.376 3.33 37.32 21.43 27.162 3.83
29.04 23.93 23.862 3.33 37.43 37.22 25.207 3.17
31.91 23.62 17.494 3 39.79 25.58 28.544 3.67
28.73 12.41 17.868 3 29.58 19.43 25.781 3
38.55 27.56 14.914 2.33 45.8 34.96 17.897 2.5
39.51 26.65 20.035 3 47.28 37.35 33.404 3.17
25.69 17.83 12.521 2.17 . . . 2.83
24.56 12.2 16.248 2.5 27.56 18.72 24.446 2
32.03 27.14 20.319 3 40.44 30.81 24.493 3.33
25.67 19.61 14.374 3.33 38.31 28.1 22.569 3.33
30.95 21.46 17.513 3.67 46.33 33.27 27.263 .
29 18.5 12.762 2.5 34.76 28.84 17.693 2.75
27.15 21.48 11.909 2.33 . . . .
36.37 25.86 12.238 2.33 41.1 30.82 12.476 2.5
35.01 29.17 35.119 3.33 45.07 39.9 40.699 3.33
37.79 33.78 23.882 3.67 57.68 37.68 32.149 3.17
41.68 24.32 29.132 3.33 48.01 34.58 29.229 3.67
75.86 43.2 33.457 4 109.48 73.23 34.651 3.83
48.74 22.73 8.549 2.67 79.14 43.68 17.388 3.33
38.18 23.78 34.538 3 49.94 34.98 32.615 2.83
34.73 21.04 24.08 3.67 37.56 33.68 30.133 2.67
36.11 26.18 24.452 4 41.02 34.4 35.971 3.67
40.23 20.27 29.358 3.5 38.65 28.03 27.671 3.5
25.63 13.33 19.015 3.17 35.37 23.61 28.363 2.5
27.51 19.83 21.254 2.67 37.09 28.14 28.16 2.5
49.83 46.38 34.954 3.83 78.87 58.69 31.881 4
49.61 43.91 29.449 3 57.05 57.15 34.852 3.17
40.34 29.05 25.332 3.5 44.33 32.47 31.527 3.17
29.47 21.88 24.203 3.17 42.85 34.47 31.234 3
27.63 16.91 18.728 2.67 30.04 35.1 24.519 2.17
51.52 47.72 30.998 3.67 86.53 53.84 32.618 3
49.48 34.71 36.22 3.67 58.05 46.93 33.484 2.83
30.79 28.82 16.93 3.33 40.85 36.11 23.421 3
59.67 47.11 34.133 3.17 76.44 73.5 37.402 3.5
39.14 22.45 29.088 2.83 49.3 33.79 36.324 3.17
41.46 30.8 31.58 4 51.79 46.98 28.825 3.5
33.56 28.51 27.967 4 46.94 37.59 29.259 3.67
42.69 29.19 30.07 3.17 42.28 46.16 38.305 3
27.11 16.15 20.215 3 35.34 20.46 21.673 3.17
25.95 14.34 12.251 3.83 27.95 21.06 21.862 3.67
38.5 20.68 23.785 3 39.28 28.86 32.168 3
30.91 25.37 28.707 2.5 43.1 36.75 29.453 2.33
29.94 29.48 28.311 2.83 43.29 46.75 32.459 2.67
29.44 23.87 13.11 3 36.59 20.36 23.332 3
27.56 22.37 23.695 2.83 31.75 38.04 26.493 3.33
37.8 25.84 25.226 3.5 42.03 28.4 28.901 3.17
32.96 26.34 17.541 3 48.19 39.26 20.819 2.67
32.24 26.29 21.617 2.5 42.22 30.04 25.2 2.5
35.12 28.62 21.689 3.5 42.01 45.61 25.606 3.33
34.51 27.38 20.308 3.5 42.83 35.46 25.619 3.17
29.6 18.65 20.549 3.33 39.5 21.53 20.022 3.5
34.88 28.46 17.097 . 41.38 39.94 21.215 4
30.2 21.56 14.063 3.17 35.64 31.37 16.56 2.17
22.23 12.62 6.985 2.83 26.3 12.83 13.222 2.17
27.89 13.93 14.109 3 30.48 17.41 21.225 2.67
48.56 45.19 26.162 4 60.56 71.4 31.34 4
27.09 27.13 24.789 4 30.04 47.47 29.73 3.17
25.05 15.14 15.001 4 33.69 19.56 16.331 3.67
32.86 17.28 17.847 3 34.98 25.32 19.631 3
26.25 13.24 16.877 2 28.02 21.39 21.1 2.17
34.68 28.93 17.158 3.67 40.42 39.6 26.971 3.5
38.92 30.77 19.207 3.5 51.97 36.45 22.829 3.5
23.96 29.01 24.24 2.83 45.32 36.44 30.249 3.33
26.28 19.71 25.772 2.17 27.4 18.68 22.467 2.83
29.26 17.61 18.079 2.67 43.46 25.48 27.09 2.83
33.9 24.19 27.494 3.83 41.36 34.07 30.09 3.67
26.95 13 10.365 2.83 29.42 20.31 15.862 3.5
41.24 25.78 24.017 3.83 46.39 43.02 25.162 3.5
25.46 17.41 16.572 3.67 36 24.6 20.447 3.17
24.25 19.39 17.457 2.83 28.34 24.43 16.929 2.5
37.55 22.2 17.758 2.5 40.8 31.43 23 2.67
33.12 12.86 18.535 2.33 37.67 25.15 34.352 3
39.69 19.84 22.173 3.67 47.33 23.74 28.709 3.83
36.22 25.48 25.547 3.67 39.27 28.04 30.031 3.83
35.87 20 13.926 3.33 43.66 24.98 24.502 3.17
31.51 18.76 27.232 2.5 42.56 25.59 35.035 2.67
46.1 29.53 27.444 3 63.66 35.57 25.65 3.5
27.09 21.63 16.417 3.33 38.85 31.3 27.704 3.17
26.34 20.86 15.618 2.67 33.71 29.26 25.507 2.17
30.83 20.3 15.824 2.17 37.15 35.94 21.436 3.17
25.69 21.42 17.593 3.17 27.69 24.72 19.805 3.17
27.97 28.15 21.73 3 39.25 36.34 32.887 3
27.19 17.88 13.922 . 38.16 25.98 22.094 .
39.77 28.5 22.943 3.5 41.84 35.13 28.426 3.67
48.38 36.98 32.065 3.83 70.77 38.51 34.032 3.83
33.64 33.19 28.682 2.33 37.21 41.94 26.08 2.5
27.82 28.69 30.047 3.17 41.7 31.36 33.046 3.5
28.77 16.44 22.321 . 38.08 20.85 25.076 .
30.53 19.65 25.005 3 38.85 26.87 28.267 3.17
33.44 26.2 27.17 3 35.55 41.25 37.322 2.83
33.37 29.47 21.199 2.33 36.36 33.18 26.95 2.83
