    1.0000    3.0000    4.0000    2.0000    1.0000    3.0000    4.0000    1.0000    2.0000    3.0000    4.0000    1.0000    2.0000    4.0000    4.0000    1.0000    2.0000     .         .         .         .        4.0000    3.0000    1.0000    1.0000
    2.0000    3.0000    3.0000    2.0000    2.0000    3.0000    3.0000    2.0000    2.0000    3.0000    4.0000    2.0000    2.0000    4.0000    4.0000    1.0000    1.0000    4.0000    4.0000    1.0000    1.0000    4.0000    4.0000    1.0000    1.0000
   16.0000    3.0000    4.0000    2.0000    2.0000    3.0000    4.0000    2.0000    3.0000    3.0000    4.0000    2.0000    2.0000    3.0000    2.0000    2.0000    1.0000    4.0000    4.0000    1.0000    1.0000    3.0000    4.0000    1.0000    2.0000
   19.0000    3.0000    4.0000    2.0000    3.0000    3.0000    3.0000    2.0000    2.0000    3.0000    4.0000    2.0000    3.0000    4.0000    4.0000    1.0000    1.0000    4.0000    4.0000    1.0000    1.0000    3.0000    3.0000    1.0000    3.0000
   35.0000    3.0000    4.0000    2.0000    2.0000    4.0000    4.0000    2.0000    3.0000    4.0000    4.0000    2.0000    3.0000    4.0000    3.0000    1.0000    2.0000    3.0000    3.0000    1.0000    3.0000    3.0000    2.0000    1.0000    2.0000
   36.0000    3.0000    4.0000    1.0000    2.0000    4.0000    4.0000    2.0000    2.0000    4.0000    3.0000    1.0000    1.0000    3.0000    3.0000    2.0000    1.0000    3.0000    3.0000    2.0000    2.0000    3.0000    3.0000    2.0000    2.0000
   48.0000    2.0000    3.0000    1.0000    2.0000    2.0000    3.0000    1.0000    1.0000     .         .         .         .        4.0000    3.0000    1.0000    2.0000    4.0000    4.0000    1.0000    2.0000    4.0000    3.0000    1.0000    1.0000
   50.0000    3.0000    2.0000    2.0000    2.0000    3.0000    3.0000    2.0000    2.0000     .         .         .         .        4.0000    2.0000    1.0000    2.0000    2.0000    3.0000    2.0000    3.0000    4.0000    3.0000    1.0000    2.0000
   54.0000    2.0000    4.0000    1.0000    3.0000    3.0000    4.0000    2.0000    2.0000     .         .         .         .        3.0000    3.0000    2.0000    3.0000    3.0000    2.0000    2.0000    3.0000    3.0000    2.0000    3.0000    2.0000
   58.0000    3.0000    3.0000    1.0000    3.0000    2.0000    3.0000    1.0000    3.0000    3.0000    3.0000    2.0000    3.0000    3.0000     .        3.0000    2.0000    3.0000    2.0000    4.0000    3.0000    3.0000    3.0000    3.0000    2.0000
