201 1 0 0 38 26 35 20 2 0 0 0 0 0 3 2 111 0 1 0
201 1 0 0 55 42 52 0 0 0 0 0 0 0 5 3 135 1 1 0
303 1 0 1 26 21 26 . . 2 2 1 1 0 2 2 121 0 1 2
303 1 0 1 33 30 35 80 0 2 4 1 1 1 5 3 145 0 1 2
2702 0 0 0 56 38 33 40 0 1 1 2 0 0 2 2 100 . 1 0
2702 0 0 0 58 41 50 120 0 3 3 3 3 0 4 3 125 . 1 2
2702 0 0 0 80 67 66 80 1 3 1 3 0 0 8 4 173 . 1 2
4303 1 0 0 41 41 34 60 0 1 3 1 1 0 3 2 115 0 0 1
4303 1 0 0 58 29 43 80 0 2 4 1 1 0 4 3 135 0 1 2
5002 0 0 4 46 47 46 170 4 1 5 3 1 3 4 2 117 . 1 4
5002 0 0 4 54 58 70 70 2 0 3 2 0 0 6 3 145 . 0 1
5002 0 0 4 66 53 77 120 3 1 4 3 0 1 8 4 167 . 1 5
5005 1 0 0 35 30 47 40 0 0 3 0 0 1 2 2 93 0 0 2
5005 1 0 0 50 49 67 100 1 2 3 3 1 0 4 3 115 0 1 2
5005 1 0 0 60 48 75 50 0 1 2 0 2 0 6 4 139 0 1 1
5005 1 0 0 59 49 78 60 0 2 3 1 0 0 8 5 163 1 1 3
5701 0 0 2 62 67 64 13 0 4 3 4 2 0 3 2 111 . 0 2
5701 0 0 2 61 70 70 7 0 1 2 3 1 0 4 3 134 . 0 1
6102 0 0 0 55 67 50 50 0 0 1 2 2 0 4 2 120 . 0 1
6102 0 0 0 67 63 69 0 0 0 0 0 0 0 5 3 141 . 1 0
6102 0 0 0 81 73 71 0 0 0 0 0 0 0 7 4 164 . 1 0
6801 1 0 0 54 48 53 0 0 0 0 0 0 0 3 2 106 0 1 0
6801 1 0 0 62 53 76 20 0 0 0 1 0 1 5 3 130 0 1 0
6801 1 0 0 66 67 64 10 0 0 0 1 0 0 7 4 153 0 1 0
6802 0 0 0 55 50 66 50 2 3 0 0 0 0 3 2 107 . 1 0
6802 0 0 0 66 64 66 20 0 0 1 0 1 0 5 3 130 . 1 1
6802 0 0 0 68 70 75 0 0 0 0 0 0 0 7 4 153 . 1 0
6803 1 0 0 57 59 68 20 0 0 1 0 0 1 3 2 113 0 1 0
6803 1 0 0 70 48 70 80 0 3 2 1 2 0 5 3 136 0 1 1
9603 0 0 0 35 42 33 . . . . . 0 0 2 2 97 . 1 1
9603 0 0 0 59 45 63 20 0 0 1 0 1 0 4 3 120 . 1 0
12401 1 0 0 34 37 49 40 0 1 1 2 0 0 3 2 97 0 0 1
12401 1 0 0 50 43 53 50 1 1 2 1 0 0 4 3 117 0 1 1
12801 0 0 2 48 41 37 60 1 1 3 1 0 0 4 3 117 . 0 2
13702 1 0 0 54 45 54 20 0 1 0 0 1 0 3 2 109 0 1 0
13702 1 0 0 64 53 71 10 0 0 1 0 0 0 6 3 133 0 1 0
13702 1 0 0 63 49 74 0 0 0 0 0 0 0 7 4 157 0 1 0
13801 0 0 1 66 56 55 30 0 1 2 0 0 0 3 2 112 . 1 1
13801 0 0 1 65 56 78 0 0 0 0 0 0 0 5 3 135 . 1 0
13803 1 0 0 58 46 60 70 0 2 1 1 3 0 3 2 106 0 1 0
