3 1 . 1 . . . 1 . 1 . . . 3 . 3 . . .
4 . . 1 . 3 . . . 1 . 0 . . . 3 . 2 .
5 . 1 . . . . . 1 . . . . . 3 . . . .
6 . 1 . 1 . . . 1 . 1 . . . 3 . 3 . .
8 . . . 7 . 7 . . . 0 . 0 . . . 0 . 0
9 1 . 1 . 1 . 1 . 1 . 1 . 3 . 3 . 3 .
10 . 3 . 1 . 1 . 0 . 1 . 1 . 2 . 3 . 3
11 . . . . 7 . . . . . 0 . . . . . 0 .
15 . 2 . 1 . 1 . 0 . 1 . 1 . 2 . 3 . 3
16 1 . 1 . . . 1 . 1 . . . 3 . 3 . . .
19 . 7 . 7 . 7 . 0 . 0 . 0 . 0 . 0 . 0
20 . 7 . 7 . 1 . 0 . 0 . 1 . 0 . 0 . 3
21 7 . 7 . . . 0 . 0 . . . 0 . 0 . . .
22 . 7 . 7 . 7 . 0 . 0 . 0 . 0 . 0 . 0
23 . 7 . 7 . . . 0 . 0 . . . 0 . 0 . .
24 . . . . . 7 . . . . . 0 . . . . . 0
25 7 . 7 . 1 . 0 . 0 . 1 . 0 . 0 . 3 .
26 7 . 3 . 4 . 0 . 0 . 0 . 0 . 2 . 2 .
30 . 1 . . . 1 . 1 . . . 1 . 3 . . . 3
31 5 . 5 . 1 . 0 . 0 . 1 . 1 . 1 . 3 .
34 2 . 3 . 7 . 0 . 0 . 0 . 2 . 2 . 0 .
35 3 . 7 . 5 . 0 . 0 . 0 . 2 . 0 . 1 .
38 . 7 . 7 . 7 . 0 . 0 . 0 . 0 . 0 . 0
39 7 . 7 . 7 . 0 . 0 . 0 . 0 . 0 . 0 .
40 1 . 1 . . . 1 . 1 . . . 3 . 3 . . .
41 . 7 . 7 . . . 0 . 0 . . . 0 . 0 . .
44 . 7 . 7 . . . 0 . 0 . . . 0 . 0 . .
45 1 . 1 . 1 . 1 . 1 . 1 . 3 . 3 . 3 .
46 7 . . . . . 0 . . . . . 0 . . . . .
48 3 . . . 2 . 0 . . . 0 . 2 . . . 2 .
49 . 7 . . . 7 . 0 . . . 0 . 0 . . . 0
50 . 7 . . . 1 . 0 . . . 1 . 0 . . . 3
51 7 . 7 . . . 0 . 0 . . . 0 . 0 . . .
52 . 7 . . . . . 0 . . . . . 0 . . . .
57 7 . 7 . . . 0 . 0 . . . 0 . 0 . . .
58 7 . . . . . 0 . . . . . 0 . . . . .
62 7 . 7 . 7 . 0 . 0 . 0 . 0 . 0 . 0 .
66 . . 7 . 7 . . . 0 . 0 . . . 0 . 0 .
68 . 7 . . . . . 0 . . . . . 0 . . . .
70 . 3 . 2 . . . 0 . 0 . . . 2 . 2 . .
72 7 . 2 . 1 . 0 . 0 . 1 . 0 . 2 . 3 .
73 7 . 7 . 7 . 0 . 0 . 0 . 0 . 0 . 0 .
74 . 7 . 7 . 7 . 0 . 0 . 0 . 0 . 0 . 0
75 . 6 . 6 . 7 . 0 . 0 . 0 . 1 . 1 . 0
76 . 4 . 1 . 1 . 0 . 1 . 1 . 2 . 3 . 3
78 7 . 7 . 7 . 0 . 0 . 0 . 0 . 0 . 0 .
79 7 . 3 . 7 . 0 . 0 . 0 . 0 . 2 . 0 .
80 7 . 7 . 7 . 0 . 0 . 0 . 0 . 0 . 0 .
81 . 7 . 7 . 7 . 0 . 0 . 0 . 0 . 0 . 0
82 . 7 . . . . . 0 . . . . . 0 . . . .
83 7 . 1 . 4 . 0 . 1 . 0 . 0 . 3 . 2 .
84 7 . 2 . . . 0 . 0 . . . 0 . 2 . . .
85 7 . . . . . 0 . . . . . 0 . . . . .
86 7 . 1 . 1 . 0 . 1 . 1 . 0 . 3 . 3 .
87 1 . 1 . . . 1 . 1 . . . 3 . 3 . . .
88 . 7 . . . . . 0 . . . . . 0 . . . .
89 . 1 . 1 . 3 . 1 . 1 . 0 . 3 . 3 . 2
90 1 . 1 . 1 . 1 . 1 . 1 . 3 . 3 . 3 .
91 7 . 2 . . . 0 . 0 . . . 0 . 2 . . .
92 . 1 . 1 . 1 . 1 . 1 . 1 . 3 . 3 . 3
96 . 7 . 7 . . . 0 . 0 . . . 0 . 0 . .
97 . 7 . 7 . 7 . 0 . 0 . 0 . 0 . 0 . 0
98 . 7 . 7 . 7 . 0 . 0 . 0 . 0 . 0 . 0
99 . 7 . 7 . 7 . 0 . 0 . 0 . 0 . 0 . 0
100 . 4 . 2 . 1 . 0 . 0 . 1 . 2 . 2 . 3
101 . 7 . . . . . 0 . . . . . 0 . . . .
102 . 7 . 7 . 7 . 0 . 0 . 0 . 0 . 0 . 0
103 7 . 7 . 7 . 0 . 0 . 0 . 0 . 0 . 0 .
104 7 . 7 . 7 . 0 . 0 . 0 . 0 . 0 . 0 .
105 7 . 7 . 7 . 0 . 0 . 0 . 0 . 0 . 0 .
106 7 . 7 . . . 0 . 0 . . . 0 . 0 . . .
107 1 . 1 . . . 1 . 1 . . . 3 . 3 . . .
109 . 1 . 1 . 1 . 1 . 1 . 1 . 3 . 3 . 3
110 . 5 . 2 . 1 . 0 . 0 . 1 . 1 . 2 . 3
111 . 7 . 7 . . . 0 . 0 . . . 0 . 0 . .
112 . 7 . 7 . . . 0 . 0 . . . 0 . 0 . .
113 . 1 . . . . . 1 . . . . . 3 . . . .
115 7 . 7 . 7 . 0 . 0 . 0 . 0 . 0 . 0 .
116 . 7 . 2 . 7 . 0 . 0 . 0 . 0 . 2 . 0
117 7 . 7 . 7 . 0 . 0 . 0 . 0 . 0 . 0 .
118 7 . 7 . . . 0 . 0 . . . 0 . 0 . . .
119 . . 7 . . . . . 0 . . . . . 0 . . .
120 . 6 . 7 . 7 . 0 . 0 . 0 . 1 . 0 . 0
125 7 . . . . . 0 . . . . . 0 . . . . .
130 . 1 . 7 . 6 . 1 . 0 . 0 . 3 . 0 . 1
131 . 3 . . . . . 0 . . . . . 2 . . . .
133 . 7 . 7 . 7 . 0 . 0 . 0 . 0 . 0 . 0
134 . 7 . 7 . . . 0 . 0 . . . 0 . 0 . .
136 7 . 7 . 1 . 0 . 0 . 1 . 0 . 0 . 3 .
137 7 . 7 . . . 0 . 0 . . . 0 . 0 . . .
138 7 . 7 . . . 0 . 0 . . . 0 . 0 . . .
139 7 . 1 . 7 . 0 . 1 . 0 . 0 . 3 . 0 .
140 . 7 . 7 . 7 . 0 . 0 . 0 . 0 . 0 . 0
141 . . . . . 1 . . . . . 1 . . . . . 3
142 . . 1 . 1 . . . 1 . 1 . . . 3 . 3 .
143 . 7 . . . 7 . 0 . . . 0 . 0 . . . 0
144 . 3 . 1 . . . 0 . 1 . . . 2 . 3 . .
145 1 . 1 . 1 . 1 . 1 . 1 . 3 . 3 . 3 .
146 1 . 3 . 1 . 1 . 0 . 1 . 3 . 2 . 3 .
147 . 1 . 1 . 1 . 1 . 1 . 1 . 3 . 3 . 3
148 . 1 . 1 . 1 . 1 . 1 . 1 . 3 . 3 . 3
149 . 7 . 7 . . . 0 . 0 . . . 0 . 0 . .
150 . . . 1 . 1 . . . 1 . 1 . . . 3 . 3
